Disease_Name,Disease_Description,Prevention_Methods,Cure_Methods
Apple scab,"Apple scab is a fungal disease caused by Venturia inaequalis that infects young leaves, blossoms, and fruit. Olive-green to dark, velvety lesions develop on leaves and can lead to curling and premature leaf drop. Fruit may show corky, cracked spots that reduce quality and storability. The pathogen overwinters in fallen leaves and releases spores during cool, wet spring weather, so orchards with prolonged leaf wetness are at highest risk.",Remove and destroy fallen leaves and mummified fruit to reduce overwintering inoculum; Prune for airflow and faster drying; avoid overhead irrigation during susceptible periods; Use resistant or tolerant cultivars when available; Apply protectant fungicides at green tip through early fruit set during wet weather; Monitor weather-based infection periods and time sprays accordingly,"Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
Apple Black rot,"Black rot is a fungal disease (commonly Botryosphaeria species on fruit crops) that causes leaf spots, fruit rot, and cankers on woody tissue. Symptoms often include circular leaf lesions with dark margins, fruit that develops brown rot progressing to black, shriveled ‘mummies’, and limb cankers that weaken branches. Infection is favored by warm, humid conditions and is often worse where pruning wounds and dead wood provide entry points.",Prune out dead wood and cankers during dry weather; disinfect tools between trees; Remove mummified fruit from the canopy and ground; Improve canopy ventilation through pruning and spacing; Avoid tree stress with balanced nutrition and irrigation management; Use labeled fungicides timed around bloom and pre-harvest in high-pressure seasons,Prune out cankers; remove mummified fruit; sanitize tools; apply appropriate fungicides timed to infection periods; maintain tree vigor and avoid wounding.
Apple Cedar apple rust,"Cedar apple rust is a fungal disease caused by Gymnosporangium juniperi-virginianae that alternates between apple/crabapple and juniper hosts. On apple leaves it produces yellow-orange spots that may develop raised pustules on the underside, and fruit can show deformed lesions. Disease pressure increases when susceptible apples are near infected junipers, especially during wet spring weather when orange gelatinous galls on junipers release spores.",Plant resistant apple cultivars where rust is common; Remove nearby infected junipers or prune out galls before spring spore release; Maintain good airflow in orchards to reduce leaf wetness duration; Apply preventive fungicides from pink through petal fall when wet weather is forecast; Avoid overhead irrigation during peak infection risk,Remove infected leaves where practical; avoid wet foliage; increase airflow; apply labeled fungicides if severe; remove alternate hosts if relevant.
Apple healthy,"Apple is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Blueberry healthy,"Blueberry is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Cherry Powdery mildew,"Powdery mildew is a fungal disease caused by several species that forms a white, powdery growth on leaves, shoots, and sometimes fruit. Infected leaves may curl, become distorted, and senesce early, reducing photosynthesis and yield. Unlike many foliar fungi, powdery mildew can develop under moderate humidity without free water and often worsens in dense canopies with poor airflow. Susceptible varieties and repeated flushes of tender growth increase risk.","Choose resistant varieties when available and avoid excessive nitrogen that drives lush growth; Prune or thin plants to improve airflow and light penetration; Remove heavily infected plant parts early to reduce spore sources; Use sulfur, potassium bicarbonate, or labeled fungicides preventively when disease pressure rises; Irrigate at the base and manage humidity in protected cultivation",Remove heavily infected tissue; improve airflow; avoid excess nitrogen; apply labeled sulfur or potassium bicarbonate products; rotate fungicide modes of action if fungicides are used.
Cherry healthy,"Cherry is healthy with no visible disease symptoms. Leaves show normal color, texture, and turgor without spots, lesions, mildew growth, chlorosis, wilting, or abnormal deformation. Healthy plants generally have uniform growth and intact leaf margins, with no signs of pest feeding or pathogen sporulation. Maintaining plant health focuses on prevention through sanitation, balanced nutrition, and irrigation practices that avoid prolonged leaf wetness and stress.","Use clean, certified planting material and maintain field or greenhouse sanitation; Provide balanced fertilization and avoid overwatering or water stress; Irrigate at the base when possible to keep foliage dry and reduce disease risk; Scout regularly for early signs of pests and disease and remove problem plants promptly; Rotate crops and manage weeds to reduce pathogen and pest reservoirs","No treatment needed. Maintain good sanitation, balanced nutrition, and monitoring to keep plants healthy."
Corn Cercospora leaf spot Gray leaf spot,"Gray leaf spot of corn, caused by Cercospora zeae-maydis and related species, produces rectangular, gray to tan lesions bounded by leaf veins. Severe infections reduce green leaf area during grain fill, leading to yield loss and stalk lodging. The fungus survives on corn residue and is favored by warm temperatures, high humidity, and extended leaf wetness, particularly in continuous corn and reduced-tillage systems.",Rotate away from corn and manage residue with tillage where appropriate; Plant hybrids with improved tolerance or resistance; Use balanced fertility and avoid plant stress that increases susceptibility; Scout at tasseling and apply labeled fungicides if thresholds and weather risk are high; Improve airflow with appropriate plant populations and row spacing,Remove infected leaves; improve airflow; rotate crops; avoid overhead irrigation; apply labeled fungicides where warranted and rotate modes of action.
Corn Common rust,"Common rust of corn, caused by Puccinia sorghi, appears as cinnamon-brown, raised pustules on both leaf surfaces that release powdery spores. Infections can reduce photosynthesis and, when severe early, reduce yield. The disease is favored by cool to mild temperatures and frequent dew. Spores are windborne and can spread quickly across fields, with severity influenced by hybrid susceptibility and local weather patterns.","Plant rust-resistant or tolerant hybrids; Monitor fields regularly, especially early in the season during cool, humid periods; Avoid overly dense stands that prolong leaf wetness; Apply labeled fungicides when disease is increasing and economic thresholds are met; Manage volunteer corn and grassy hosts around fields when feasible",Remove infected leaves where practical; avoid wet foliage; increase airflow; apply labeled fungicides if severe; remove alternate hosts if relevant.
Corn Northern Leaf Blight,"Northern corn leaf blight, caused by Exserohilum turcicum, produces long, cigar-shaped gray-green lesions that expand and coalesce, reducing functional leaf area. Severe outbreaks before or during tasseling can substantially reduce yield and predispose plants to lodging. The pathogen survives on infected residue and spreads by wind and rain splash. Warm temperatures, high humidity, and extended leaf wetness favor infection and lesion development.","Use resistant hybrids and rotate crops to reduce inoculum; Bury or manage infected residue where agronomically appropriate; Scout fields from V8 through tasseling, especially after humid weather; Apply labeled fungicides at VT-R1 if disease pressure is high and the hybrid is susceptible; Optimize plant nutrition to avoid stress and improve standability","Primarily managed through integrated practices: remove infected tissue, reduce leaf wetness, improve airflow, sanitize tools, and apply labeled treatments only when needed and appropriate for the crop and pathogen."
